,a,b,c,Total,category,hotel_id,fileId,iId
0_0,2,0,1,3,facility,260,0,0
1_0,0,0,2,2,pool,260,1,0
2_0,2,0,1,3,renovation_room,260,2,0
3_0,2,0,1,3,restaurant,260,3,0
3_1,2,0,1,3,restaurant,260,3,1
3_2,0,0,2,2,restaurant,260,3,2
3_3,0,0,2,2,restaurant,260,3,3
3_4,0,0,2,2,restaurant,260,3,4
4_0,1,0,2,3,room,260,4,0
4_1,0,0,3,3,room,260,4,1
4_2,0,2,1,3,room,260,4,2
5_0,2,0,0,2,facility,110,5,0
6_0,0,2,1,3,reception,110,6,0
6_1,0,2,1,3,reception,110,6,1
7_0,2,0,0,2,pool,110,7,0
8_0,2,0,1,3,restaurant,110,8,0
8_1,0,0,2,2,restaurant,110,8,1
8_2,0,2,0,2,restaurant,110,8,2
9_0,2,0,1,3,room,110,9,0
10_0,0,1,2,3,reception,327,10,0
11_0,0,2,0,2,pool,327,11,0
13_0,0,2,0,2,restaurant,327,13,0
14_0,0,2,1,3,room,327,14,0
14_1,2,0,1,3,room,327,14,1
15_0,2,0,0,2,facility,401,15,0
16_0,2,0,0,2,reception,401,16,0
17_0,2,0,0,2,pool,401,17,0
18_0,2,0,0,2,renovation_room,401,18,0
19_0,2,0,0,2,room,401,19,0
20_0,0,0,2,2,reception,319,20,0
20_1,0,0,2,2,reception,319,20,1
21_0,1,0,2,3,pool,319,21,0
22_0,0,2,0,2,renovation_room,319,22,0
23_0,0,0,3,3,restaurant,319,23,0
23_1,1,0,2,3,restaurant,319,23,1
24_0,0,2,0,2,room,319,24,0
25_0,2,0,0,2,facility,132,25,0
26_0,2,0,1,3,reception,132,26,0
27_0,0,2,0,2,pool,132,27,0
27_1,0,0,2,2,pool,132,27,1
28_0,2,0,0,2,renovation_room,132,28,0
29_0,2,0,1,3,room,132,29,0
30_0,0,2,0,2,facility,129,30,0
30_1,0,0,2,2,facility,129,30,1
31_0,1,1,1,3,pool,129,31,0
31_1,0,0,2,2,pool,129,31,1
31_2,1,1,1,3,pool,129,31,2
32_0,2,0,0,2,renovation_room,129,32,0
33_0,0,0,2,2,restaurant,129,33,0
33_1,2,0,1,3,restaurant,129,33,1
33_2,0,2,0,2,restaurant,129,33,2
34_0,0,0,2,2,room,129,34,0
34_1,0,1,2,3,room,129,34,1
34_2,2,0,0,2,room,129,34,2
34_3,2,0,1,3,room,129,34,3
35_0,2,0,1,3,facility,445,35,0
36_0,2,0,0,2,pool,445,36,0
37_0,2,0,0,2,renovation_room,445,37,0
38_0,1,0,2,3,restaurant,445,38,0
39_0,2,0,0,2,room,445,39,0
40_0,2,0,0,2,facility,136,40,0
40_1,0,0,2,2,facility,136,40,1
41_0,2,0,0,2,pool,136,41,0
42_0,2,0,0,2,renovation_room,136,42,0
43_0,0,2,0,2,restaurant,136,43,0
44_0,2,0,0,2,room,136,44,0
44_1,2,0,0,2,room,136,44,1
45_0,1,2,0,3,reception,243,45,0
45_1,0,2,1,3,reception,243,45,1
45_2,2,0,0,2,reception,243,45,2
46_0,1,0,2,3,pool,243,46,0
46_1,2,0,0,2,pool,243,46,1
46_2,0,2,0,2,pool,243,46,2
47_0,2,0,0,2,renovation_room,243,47,0
48_0,0,2,1,3,restaurant,243,48,0
49_0,0,0,2,2,room,243,49,0
49_1,0,0,2,2,room,243,49,1
49_2,1,1,1,3,room,243,49,2
49_3,0,2,1,3,room,243,49,3
50_0,0,2,1,3,facility,315,50,0
51_0,0,0,2,2,reception,315,51,0
51_1,0,0,2,2,reception,315,51,1
51_2,0,0,2,2,reception,315,51,2
52_0,0,0,2,2,pool,315,52,0
52_1,0,0,2,2,pool,315,52,1
54_0,2,0,1,3,restaurant,315,54,0
55_0,0,2,0,2,facility,113,55,0
56_0,0,2,0,2,pool,113,56,0
57_0,2,0,0,2,renovation_room,113,57,0
58_0,0,0,2,2,restaurant,113,58,0
58_1,0,2,1,3,restaurant,113,58,1
59_0,0,0,2,2,room,113,59,0
59_1,0,2,0,2,room,113,59,1
60_0,0,2,0,2,reception,356,60,0
61_0,2,0,0,2,pool,356,61,0
62_0,2,0,0,2,renovation_room,356,62,0
63_0,0,2,0,2,restaurant,356,63,0
64_0,0,2,0,2,room,356,64,0
64_1,0,0,2,2,room,356,64,1
65_0,2,0,0,2,facility,348,65,0
66_0,2,0,1,3,reception,348,66,0
66_1,0,0,2,2,reception,348,66,1
66_2,0,0,2,2,reception,348,66,2
67_0,1,0,2,3,pool,348,67,0
68_0,2,0,1,3,restaurant,348,68,0
68_1,2,0,1,3,restaurant,348,68,1
69_0,2,0,0,2,room,348,69,0
69_1,0,0,2,2,room,348,69,1
70_0,2,0,0,2,facility,350,70,0
71_0,0,0,2,2,reception,350,71,0
71_1,0,2,0,2,reception,350,71,1
72_0,2,0,0,2,renovation_room,350,72,0
73_0,0,2,0,2,restaurant,350,73,0
73_1,0,0,2,2,restaurant,350,73,1
74_0,0,0,2,2,room,350,74,0
74_1,0,1,2,3,room,350,74,1
75_0,2,0,1,3,facility,43,75,0
75_1,2,0,1,3,facility,43,75,1
76_0,2,0,0,2,reception,43,76,0
76_1,0,0,2,2,reception,43,76,1
76_2,0,0,2,2,reception,43,76,2
77_0,2,0,0,2,pool,43,77,0
78_0,0,0,2,2,restaurant,43,78,0
78_1,0,2,0,2,restaurant,43,78,1
79_0,0,2,0,2,room,43,79,0
80_0,2,0,0,2,reception,368,80,0
80_1,0,0,2,2,reception,368,80,1
81_0,2,0,1,3,pool,368,81,0
82_0,2,0,0,2,renovation_room,368,82,0
83_0,2,0,1,3,restaurant,368,83,0
84_0,2,0,0,2,room,368,84,0
85_0,2,0,0,2,facility,174,85,0
86_0,2,0,0,2,pool,174,86,0
87_0,2,0,1,3,renovation_room,174,87,0
87_1,0,0,2,2,renovation_room,174,87,1
88_0,0,0,2,2,restaurant,174,88,0
88_1,0,2,0,2,restaurant,174,88,1
89_0,2,0,0,2,room,174,89,0
90_0,0,2,1,3,facility,16,90,0
90_1,1,0,2,3,facility,16,90,1
91_0,2,0,0,2,pool,16,91,0
92_0,2,0,0,2,renovation_room,16,92,0
93_0,2,0,0,2,restaurant,16,93,0
94_0,0,2,0,2,room,16,94,0
94_1,2,0,1,3,room,16,94,1
94_2,2,0,0,2,room,16,94,2
95_0,0,2,0,2,facility,305,95,0
96_0,0,2,0,2,reception,305,96,0
97_0,2,0,0,2,renovation_room,305,97,0
98_0,0,2,0,2,restaurant,305,98,0
99_0,0,2,0,2,room,305,99,0
99_1,0,2,1,3,room,305,99,1
100_0,2,0,0,2,facility,167,100,0
101_0,2,0,0,2,reception,167,101,0
102_0,2,0,0,2,pool,167,102,0
103_0,2,0,0,2,reception,307,103,0
104_0,2,0,0,2,renovation_room,307,104,0
105_0,2,0,0,2,restaurant,307,105,0
107_0,0,0,2,2,restaurant,163,107,0
107_1,2,0,0,2,restaurant,163,107,1
108_0,2,0,0,2,room,163,108,0
108_1,1,1,1,3,room,163,108,1
109_0,0,2,0,2,facility,456,109,0
110_0,2,0,0,2,restaurant,456,110,0
110_1,2,0,0,2,restaurant,456,110,1
111_0,0,2,0,2,room,456,111,0
113_0,0,2,0,2,pool,259,113,0
114_0,2,0,0,2,room,259,114,0
115_0,2,0,0,2,facility,250,115,0
116_0,2,0,0,2,restaurant,250,116,0
117_0,2,0,0,2,room,250,117,0
117_1,2,0,0,2,room,250,117,1
118_0,0,0,2,2,reception,150,118,0
118_1,0,1,2,3,reception,150,118,1
119_0,2,0,0,2,pool,150,119,0
120_0,2,0,0,2,renovation_room,150,120,0
121_0,0,2,0,2,reception,131,121,0
122_0,0,2,0,2,restaurant,131,122,0
123_0,0,2,0,2,room,131,123,0
124_0,0,2,0,2,facility,471,124,0
125_0,0,2,0,2,pool,471,125,0
126_0,0,1,2,3,room,471,126,0
126_1,0,1,2,3,room,471,126,1
126_2,0,2,0,2,room,471,126,2
127_0,0,2,0,2,facility,56,127,0
128_0,0,2,0,2,pool,56,128,0
129_0,0,2,0,2,room,56,129,0
129_1,0,2,0,2,room,56,129,1
130_0,2,0,0,2,renovation_room,205,130,0
131_0,0,2,0,2,restaurant,205,131,0
132_0,0,2,0,2,room,205,132,0
133_0,0,2,0,2,reception,156,133,0
134_0,0,2,0,2,restaurant,156,134,0
135_0,0,2,0,2,room,156,135,0
136_0,0,1,1,2,pool,479,136,0
136_1,0,3,0,3,pool,479,136,1
137_0,2,0,0,2,renovation_room,479,137,0
138_0,1,0,2,3,room,479,138,0
138_1,2,0,1,3,room,479,138,1
139_0,0,2,0,2,facility,257,139,0
140_0,0,2,0,2,pool,257,140,0
141_0,0,2,0,2,room,257,141,0
141_1,0,2,0,2,room,257,141,1
142_0,0,2,0,2,pool,393,142,0
144_0,2,0,0,2,room,393,144,0
145_0,0,2,0,2,reception,91,145,0
147_0,2,0,0,2,restaurant,91,147,0
148_0,2,0,0,2,renovation_room,373,148,0
149_0,2,0,0,2,restaurant,373,149,0
150_0,2,0,0,2,room,373,150,0
150_1,0,2,0,2,room,373,150,1
150_2,0,2,0,2,room,373,150,2
151_0,2,0,0,2,reception,128,151,0
152_0,2,0,0,2,pool,128,152,0
153_0,0,2,0,2,renovation_room,128,153,0
154_0,0,1,2,3,reception,144,154,0
154_1,0,2,0,2,reception,144,154,1
155_0,2,0,0,2,pool,144,155,0
156_0,0,2,0,2,room,144,156,0
156_1,0,2,0,2,room,144,156,1
157_0,0,2,0,2,reception,25,157,0
158_0,0,2,0,2,restaurant,25,158,0
159_0,0,2,0,2,room,25,159,0
160_0,0,2,0,2,reception,52,160,0
161_0,0,2,0,2,restaurant,52,161,0
161_1,2,1,0,3,restaurant,52,161,1
161_2,0,2,0,2,restaurant,52,161,2
162_0,0,0,2,2,room,52,162,0
162_1,0,2,0,2,room,52,162,1
164_0,0,2,0,2,restaurant,423,164,0
165_0,0,2,0,2,room,423,165,0
165_1,0,2,1,3,room,423,165,1
165_2,0,2,1,3,room,423,165,2
166_0,2,0,0,2,renovation_room,489,166,0
167_0,2,0,0,2,restaurant,489,167,0
168_0,2,0,0,2,room,489,168,0
169_0,2,0,0,2,pool,363,169,0
170_0,0,0,2,2,restaurant,363,170,0
170_1,0,0,2,2,restaurant,363,170,1
170_2,0,0,2,2,restaurant,363,170,2
171_0,0,0,2,2,room,363,171,0
171_1,2,0,0,2,room,363,171,1
172_0,0,2,0,2,pool,369,172,0
172_1,0,2,1,3,pool,369,172,1
173_0,2,0,0,2,renovation_room,369,173,0
174_0,2,0,0,2,restaurant,369,174,0
175_0,2,0,0,2,facility,422,175,0
176_0,2,0,0,2,reception,422,176,0
177_0,2,0,0,2,room,422,177,0
178_0,2,0,0,2,facility,225,178,0
179_0,2,0,0,2,restaurant,225,179,0
179_1,0,2,0,2,restaurant,225,179,1
180_0,0,2,1,3,room,225,180,0
181_0,0,0,2,2,facility,183,181,0
181_1,2,0,0,2,facility,183,181,1
181_2,0,2,0,2,facility,183,181,2
182_0,0,2,0,2,pool,183,182,0
184_0,2,0,0,2,reception,135,184,0
186_0,2,0,0,2,room,135,186,0
186_1,0,0,2,2,room,135,186,1
187_0,0,0,2,2,reception,59,187,0
188_0,0,0,2,2,restaurant,59,188,0
188_1,0,0,2,2,restaurant,59,188,1
188_2,0,0,2,2,restaurant,59,188,2
189_0,0,0,2,2,room,59,189,0
189_1,0,0,2,2,room,59,189,1
190_0,0,2,0,2,facility,210,190,0
190_1,2,0,0,2,facility,210,190,1
190_2,0,0,2,2,facility,210,190,2
191_0,0,0,2,2,renovation_room,210,191,0
194_0,2,0,1,3,reception,41,194,0
194_1,0,0,2,2,reception,41,194,1
194_2,0,0,2,2,reception,41,194,2
194_3,0,0,2,2,reception,41,194,3
194_4,0,0,2,2,reception,41,194,4
195_0,0,0,2,2,room,41,195,0
195_1,2,0,0,2,room,41,195,1
195_2,0,2,0,2,room,41,195,2
196_0,0,0,2,2,renovation_room,70,196,0
197_0,2,0,0,2,restaurant,70,197,0
198_0,2,0,1,3,renovation_room,411,198,0
199_0,0,1,2,3,room,411,199,0
199_1,0,2,1,3,room,411,199,1
200_0,2,0,0,2,facility,299,200,0
200_1,0,0,2,2,facility,299,200,1
201_0,0,2,0,2,restaurant,299,201,0
202_0,0,2,0,2,facility,380,202,0
203_0,0,1,0,1,restaurant,380,203,0
204_0,2,0,0,2,reception,277,204,0
205_0,2,0,0,2,restaurant,277,205,0
205_1,0,2,0,2,restaurant,277,205,1
205_2,0,0,2,2,restaurant,277,205,2
205_3,0,0,2,2,restaurant,277,205,3
206_0,2,0,0,2,renovation_room,420,206,0
207_0,2,0,0,2,room,420,207,0
208_0,0,2,0,2,facility,217,208,0
209_0,0,2,0,2,restaurant,217,209,0
210_0,0,2,0,2,reception,48,210,0
211_0,0,2,0,2,restaurant,48,211,0
212_0,2,0,0,2,facility,396,212,0
212_1,2,1,0,3,facility,396,212,1
213_0,2,0,0,2,restaurant,396,213,0
214_0,0,2,0,2,facility,269,214,0
214_1,0,2,0,2,facility,269,214,1
215_0,0,2,0,2,reception,269,215,0
217_0,2,0,0,2,pool,118,217,0
218_0,1,1,1,3,reception,404,218,0
218_1,2,0,0,2,reception,404,218,1
218_2,0,2,0,2,reception,404,218,2
218_3,2,0,0,2,reception,404,218,3
219_0,2,0,1,3,renovation_room,404,219,0
219_1,2,0,0,2,renovation_room,404,219,1
220_0,2,0,0,2,pool,359,220,0
221_0,2,0,0,2,room,359,221,0
222_0,2,0,0,2,reception,318,222,0
222_1,1,2,0,3,reception,318,222,1
222_2,1,2,0,3,reception,318,222,2
222_3,1,2,0,3,reception,318,222,3
222_4,0,2,1,3,reception,318,222,4
222_5,0,2,1,3,reception,318,222,5
223_0,1,0,2,3,restaurant,318,223,0
223_1,2,0,0,2,restaurant,318,223,1
223_2,2,0,0,2,restaurant,318,223,2
224_0,0,2,1,3,facility,228,224,0
225_0,2,0,0,2,renovation_room,228,225,0
226_0,2,1,0,3,pool,437,226,0
227_0,2,0,0,2,restaurant,437,227,0
228_0,2,0,0,2,reception,278,228,0
228_1,0,2,0,2,reception,278,228,1
228_2,2,0,0,2,reception,278,228,2
228_3,0,0,2,2,reception,278,228,3
228_4,2,0,0,2,reception,278,228,4
229_0,2,0,0,2,room,278,229,0
229_1,0,2,0,2,room,278,229,1
229_2,0,2,0,2,room,278,229,2
230_0,2,0,0,2,reception,473,230,0
231_0,2,0,0,2,room,473,231,0
232_0,1,2,0,3,facility,74,232,0
233_0,0,2,1,3,room,74,233,0
234_0,2,0,0,2,facility,436,234,0
235_0,0,1,2,3,room,436,235,0
235_1,0,0,2,2,room,436,235,1
235_2,0,2,0,2,room,436,235,2
236_0,0,1,2,3,renovation_room,252,236,0
236_1,0,2,0,2,renovation_room,252,236,1
237_0,0,2,0,2,restaurant,252,237,0
237_1,2,0,0,2,restaurant,252,237,1
238_0,1,0,0,1,facility,168,238,0
238_1,1,0,0,1,facility,168,238,1
238_2,0,0,1,1,facility,168,238,2
239_0,2,0,0,2,pool,168,239,0
241_0,0,2,0,2,renovation_room,459,241,0
242_0,0,1,2,3,facility,370,242,0
242_1,0,0,2,2,facility,370,242,1
243_0,2,0,0,2,pool,370,243,0
244_0,0,2,0,2,reception,395,244,0
245_0,2,0,0,2,pool,395,245,0
246_0,2,0,0,2,renovation_room,294,246,0
247_0,0,2,0,2,restaurant,294,247,0
247_1,2,0,0,2,restaurant,294,247,1
247_2,2,0,1,3,restaurant,294,247,2
248_0,0,1,2,3,reception,29,248,0
248_1,0,2,0,2,reception,29,248,1
249_0,0,1,2,3,restaurant,29,249,0
249_1,2,0,0,2,restaurant,29,249,1
250_0,2,0,0,2,facility,147,250,0
251_0,1,0,0,1,reception,147,251,0
253_0,2,0,0,2,room,147,253,0
254_0,0,2,1,3,facility,325,254,0
254_1,0,2,1,3,facility,325,254,1
255_0,2,0,0,2,renovation_room,325,255,0
256_0,2,0,0,2,restaurant,325,256,0
257_0,0,2,1,3,room,325,257,0
257_1,0,2,1,3,room,325,257,1
258_0,2,0,0,2,facility,180,258,0
259_0,2,0,0,2,reception,180,259,0
261_0,0,2,0,2,room,180,261,0
262_0,0,2,0,2,facility,46,262,0
263_0,2,0,1,3,reception,46,263,0
263_1,0,0,2,2,reception,46,263,1
264_0,0,2,0,2,restaurant,46,264,0
266_0,0,2,0,2,facility,270,266,0
268_0,0,0,2,2,restaurant,270,268,0
268_1,0,0,2,2,restaurant,270,268,1
269_0,0,2,1,3,room,270,269,0
269_1,0,2,1,3,room,270,269,1
269_2,0,2,0,2,room,270,269,2
270_0,0,0,2,2,pool,149,270,0
270_1,0,2,0,2,pool,149,270,1
271_0,2,0,0,2,renovation_room,149,271,0
272_0,0,0,2,2,restaurant,149,272,0
273_0,0,2,0,2,room,149,273,0
273_1,0,0,2,2,room,149,273,1
274_0,0,2,0,2,facility,142,274,0
275_0,0,2,0,2,reception,142,275,0
276_0,0,2,0,2,pool,142,276,0
277_0,0,2,1,3,room,142,277,0
277_1,0,2,1,3,room,142,277,1
278_0,0,0,2,2,pool,214,278,0
279_0,2,0,0,2,renovation_room,214,279,0
281_0,0,2,0,2,room,214,281,0
282_0,2,0,1,3,facility,292,282,0
283_0,0,0,2,2,pool,292,283,0
283_1,0,0,2,2,pool,292,283,1
284_0,2,0,0,2,renovation_room,292,284,0
285_0,2,0,0,2,room,292,285,0
286_0,0,2,0,2,reception,32,286,0
288_0,0,2,0,2,restaurant,32,288,0
289_0,0,2,0,2,room,32,289,0
290_0,0,2,0,2,facility,226,290,0
290_1,1,0,2,3,facility,226,290,1
291_0,0,2,0,2,pool,226,291,0
292_0,2,0,0,2,renovation_room,226,292,0
293_0,0,2,0,2,room,226,293,0
293_1,1,1,1,3,room,226,293,1
294_0,2,0,0,2,facility,9,294,0
294_1,1,0,2,3,facility,9,294,1
295_0,1,0,0,1,reception,9,295,0
295_1,0,0,1,1,reception,9,295,1
295_2,1,0,0,1,reception,9,295,2
297_0,2,0,1,3,restaurant,9,297,0
297_1,2,0,0,2,restaurant,9,297,1
298_0,0,2,1,3,facility,37,298,0
299_0,0,0,2,2,reception,37,299,0
299_1,0,0,2,2,reception,37,299,1
299_2,2,0,1,3,reception,37,299,2
300_0,0,2,0,2,restaurant,37,300,0
300_1,0,1,2,3,restaurant,37,300,1
301_0,0,2,0,2,room,37,301,0
302_0,0,2,1,3,reception,211,302,0
304_0,0,2,0,2,restaurant,211,304,0
305_0,0,2,0,2,room,211,305,0
306_0,0,2,0,2,facility,26,306,0
307_0,0,2,0,2,pool,26,307,0
308_0,0,2,0,2,restaurant,26,308,0
308_1,0,0,2,2,restaurant,26,308,1
309_0,0,2,0,2,room,26,309,0
310_0,0,2,1,3,facility,242,310,0
311_0,0,2,0,2,reception,242,311,0
313_0,0,2,0,2,room,242,313,0
314_0,0,2,0,2,reception,185,314,0
314_1,0,0,2,2,reception,185,314,1
314_2,0,0,2,2,reception,185,314,2
315_0,2,0,1,3,pool,185,315,0
316_0,2,0,0,2,restaurant,185,316,0
317_0,2,0,0,2,room,185,317,0
318_0,2,0,0,2,reception,224,318,0
319_0,2,0,0,2,renovation_room,224,319,0
320_0,1,2,0,3,restaurant,224,320,0
320_1,1,2,0,3,restaurant,224,320,1
320_2,0,2,1,3,restaurant,224,320,2
321_0,0,2,0,2,room,224,321,0
321_1,1,0,2,3,room,224,321,1
322_0,2,0,1,3,reception,367,322,0
323_0,2,0,0,2,pool,367,323,0
323_1,2,0,0,2,pool,367,323,1
324_0,2,1,0,3,restaurant,367,324,0
324_1,2,0,1,3,restaurant,367,324,1
325_0,0,1,2,3,room,367,325,0
325_1,2,0,0,2,room,367,325,1
325_2,2,0,0,2,room,367,325,2
326_0,0,2,0,2,facility,145,326,0
327_0,0,2,0,2,reception,145,327,0
328_0,0,2,0,2,restaurant,145,328,0
329_0,0,2,0,2,room,145,329,0
330_0,2,0,0,2,room,291,330,0
330_1,0,0,2,2,room,291,330,1
330_2,0,2,0,2,room,291,330,2
331_0,2,0,0,2,reception,391,331,0
332_0,2,0,0,2,renovation_room,453,332,0
333_0,0,0,2,2,reception,478,333,0
333_1,0,1,2,3,reception,478,333,1
334_0,2,0,0,2,pool,273,334,0
335_0,2,0,0,2,room,71,335,0
336_0,2,0,0,2,facility,416,336,0
337_0,2,0,0,2,pool,6,337,0
338_0,0,2,0,2,facility,95,338,0
339_0,0,2,0,2,facility,337,339,0
339_1,0,0,2,2,facility,337,339,1
340_0,2,0,1,3,reception,20,340,0
342_0,2,0,0,2,facility,441,342,0
343_0,2,0,0,2,facility,326,343,0
344_0,0,0,2,2,room,424,344,0
344_1,0,0,2,2,room,424,344,1
344_2,2,0,1,3,room,424,344,2
345_0,0,2,0,2,reception,162,345,0
346_0,0,2,0,2,renovation_room,321,346,0
347_0,2,0,0,2,pool,158,347,0
348_0,2,0,0,2,room,230,348,0
351_0,2,0,0,2,facility,194,351,0
352_0,0,2,0,2,facility,289,352,0
354_0,2,0,0,2,facility,179,354,0
356_0,2,0,0,2,renovation_room,412,356,0
357_0,0,2,0,2,room,309,357,0
358_0,0,2,0,2,room,203,358,0
358_1,0,0,2,2,room,203,358,1
359_0,2,0,0,2,restaurant,444,359,0
360_0,2,0,1,3,facility,486,360,0
361_0,2,0,0,2,reception,486,361,0
361_1,0,0,2,2,reception,486,361,1
362_0,2,0,0,2,pool,486,362,0
363_0,2,0,0,2,renovation_room,486,363,0
364_0,0,2,0,2,restaurant,486,364,0
364_1,0,2,1,3,restaurant,486,364,1
365_0,0,2,0,2,room,486,365,0
365_1,0,1,2,3,room,486,365,1
365_2,2,0,1,3,room,486,365,2
365_3,2,0,1,3,room,486,365,3
366_0,2,0,0,2,facility,399,366,0
367_0,0,0,2,2,reception,399,367,0
367_1,2,0,0,2,reception,399,367,1
367_2,0,2,1,3,reception,399,367,2
369_0,2,0,0,2,renovation_room,399,369,0
370_0,2,0,0,2,restaurant,399,370,0
370_1,0,0,2,2,restaurant,399,370,1
371_0,0,2,1,3,room,399,371,0
371_1,2,0,0,2,room,399,371,1
371_2,2,0,1,3,room,399,371,2
372_0,2,0,0,2,facility,221,372,0
373_0,2,0,0,2,reception,221,373,0
375_0,2,0,0,2,renovation_room,221,375,0
376_0,2,0,0,2,restaurant,221,376,0
377_0,2,1,0,3,room,221,377,0
377_1,2,0,0,2,room,221,377,1
378_0,0,2,0,2,facility,122,378,0
379_0,0,2,1,3,reception,122,379,0
379_1,0,2,1,3,reception,122,379,1
381_0,0,2,0,2,renovation_room,122,381,0
382_0,0,2,1,3,restaurant,122,382,0
382_1,0,2,1,3,restaurant,122,382,1
383_0,0,2,0,2,room,122,383,0
383_1,0,0,2,2,room,122,383,1
384_0,2,0,1,3,facility,409,384,0
385_0,0,0,2,2,reception,409,385,0
386_0,2,0,0,2,pool,409,386,0
387_0,2,0,0,2,renovation_room,409,387,0
388_0,2,0,0,2,restaurant,409,388,0
389_0,2,0,0,2,room,409,389,0
390_0,0,2,0,2,facility,386,390,0
390_1,0,0,2,2,facility,386,390,1
391_0,2,0,0,2,reception,386,391,0
392_0,2,0,1,3,pool,386,392,0
393_0,2,0,0,2,renovation_room,386,393,0
393_1,0,0,2,2,renovation_room,386,393,1
394_0,0,2,0,2,restaurant,386,394,0
394_1,0,0,2,2,restaurant,386,394,1
395_0,0,2,1,3,room,386,395,0
395_1,2,0,0,2,room,386,395,1
396_0,0,0,2,2,facility,288,396,0
396_1,0,2,1,3,facility,288,396,1
397_0,2,1,0,3,reception,288,397,0
397_1,0,0,2,2,reception,288,397,1
398_0,0,0,2,2,pool,288,398,0
399_0,2,0,0,2,renovation_room,288,399,0
400_0,0,0,2,2,restaurant,288,400,0
400_1,0,2,0,2,restaurant,288,400,1
401_0,2,0,0,2,room,288,401,0
403_0,2,0,0,2,reception,139,403,0
404_0,0,0,2,2,pool,139,404,0
406_0,1,0,2,3,restaurant,139,406,0
407_0,2,0,0,2,room,139,407,0
408_0,2,0,0,2,facility,64,408,0
409_0,0,0,2,2,reception,64,409,0
409_1,0,2,1,3,reception,64,409,1
409_2,0,0,2,2,reception,64,409,2
410_0,2,0,0,2,pool,64,410,0
411_0,1,2,0,3,renovation_room,64,411,0
411_1,2,0,1,3,renovation_room,64,411,1
412_0,3,0,0,3,restaurant,64,412,0
412_1,2,0,1,3,restaurant,64,412,1
412_2,0,2,0,2,restaurant,64,412,2
413_0,0,2,0,2,room,64,413,0
413_1,0,2,1,3,room,64,413,1
414_0,2,0,0,2,facility,389,414,0
415_0,2,0,0,2,reception,389,415,0
415_1,0,2,0,2,reception,389,415,1
415_2,2,0,0,2,reception,389,415,2
415_3,2,0,1,3,reception,389,415,3
416_0,0,0,2,2,pool,389,416,0
416_1,0,2,1,3,pool,389,416,1
417_0,2,0,0,2,renovation_room,389,417,0
418_0,2,0,0,2,restaurant,389,418,0
418_1,0,2,1,3,restaurant,389,418,1
419_0,2,0,1,3,room,389,419,0
419_1,2,0,1,3,room,389,419,1
