,file_id,cpt,category,hotel_id
0_0,0,0,facility,260
1_0,1,0,pool,260
2_0,2,0,renovation_room,260
3_0,3,0,restaurant,260
3_1,3,1,restaurant,260
3_2,3,2,restaurant,260
3_3,3,3,restaurant,260
3_4,3,4,restaurant,260
4_0,4,0,room,260
4_1,4,1,room,260
4_2,4,2,room,260
5_0,5,0,facility,110
6_0,6,0,reception,110
6_1,6,1,reception,110
7_0,7,0,pool,110
8_0,8,0,restaurant,110
8_1,8,1,restaurant,110
8_2,8,2,restaurant,110
9_0,9,0,room,110
10_0,10,0,reception,327
11_0,11,0,pool,327
13_0,13,0,restaurant,327
14_0,14,0,room,327
14_1,14,1,room,327
15_0,15,0,facility,401
16_0,16,0,reception,401
17_0,17,0,pool,401
18_0,18,0,renovation_room,401
19_0,19,0,room,401
20_0,20,0,reception,319
20_1,20,1,reception,319
21_0,21,0,pool,319
22_0,22,0,renovation_room,319
23_0,23,0,restaurant,319
23_1,23,1,restaurant,319
24_0,24,0,room,319
25_0,25,0,facility,132
26_0,26,0,reception,132
27_0,27,0,pool,132
27_1,27,1,pool,132
28_0,28,0,renovation_room,132
29_0,29,0,room,132
30_0,30,0,facility,129
30_1,30,1,facility,129
31_0,31,0,pool,129
31_1,31,1,pool,129
31_2,31,2,pool,129
32_0,32,0,renovation_room,129
33_0,33,0,restaurant,129
33_1,33,1,restaurant,129
33_2,33,2,restaurant,129
34_0,34,0,room,129
34_1,34,1,room,129
34_2,34,2,room,129
34_3,34,3,room,129
35_0,35,0,facility,445
36_0,36,0,pool,445
37_0,37,0,renovation_room,445
38_0,38,0,restaurant,445
39_0,39,0,room,445
40_0,40,0,facility,136
40_1,40,1,facility,136
41_0,41,0,pool,136
42_0,42,0,renovation_room,136
43_0,43,0,restaurant,136
44_0,44,0,room,136
44_1,44,1,room,136
45_0,45,0,reception,243
45_1,45,1,reception,243
45_2,45,2,reception,243
46_0,46,0,pool,243
46_1,46,1,pool,243
46_2,46,2,pool,243
47_0,47,0,renovation_room,243
48_0,48,0,restaurant,243
49_0,49,0,room,243
49_1,49,1,room,243
49_2,49,2,room,243
49_3,49,3,room,243
50_0,50,0,facility,315
51_0,51,0,reception,315
51_1,51,1,reception,315
51_2,51,2,reception,315
52_0,52,0,pool,315
52_1,52,1,pool,315
54_0,54,0,restaurant,315
55_0,55,0,facility,113
56_0,56,0,pool,113
57_0,57,0,renovation_room,113
58_0,58,0,restaurant,113
58_1,58,1,restaurant,113
59_0,59,0,room,113
59_1,59,1,room,113
60_0,60,0,reception,356
61_0,61,0,pool,356
62_0,62,0,renovation_room,356
63_0,63,0,restaurant,356
64_0,64,0,room,356
64_1,64,1,room,356
65_0,65,0,facility,348
66_0,66,0,reception,348
66_1,66,1,reception,348
66_2,66,2,reception,348
67_0,67,0,pool,348
68_0,68,0,restaurant,348
68_1,68,1,restaurant,348
69_0,69,0,room,348
69_1,69,1,room,348
70_0,70,0,facility,350
71_0,71,0,reception,350
71_1,71,1,reception,350
72_0,72,0,renovation_room,350
73_0,73,0,restaurant,350
73_1,73,1,restaurant,350
74_0,74,0,room,350
74_1,74,1,room,350
75_0,75,0,facility,43
75_1,75,1,facility,43
76_0,76,0,reception,43
76_1,76,1,reception,43
76_2,76,2,reception,43
77_0,77,0,pool,43
78_0,78,0,restaurant,43
78_1,78,1,restaurant,43
79_0,79,0,room,43
80_0,80,0,reception,368
80_1,80,1,reception,368
81_0,81,0,pool,368
82_0,82,0,renovation_room,368
83_0,83,0,restaurant,368
84_0,84,0,room,368
85_0,85,0,facility,174
86_0,86,0,pool,174
87_0,87,0,renovation_room,174
87_1,87,1,renovation_room,174
88_0,88,0,restaurant,174
88_1,88,1,restaurant,174
89_0,89,0,room,174
90_0,90,0,facility,16
90_1,90,1,facility,16
91_0,91,0,pool,16
92_0,92,0,renovation_room,16
93_0,93,0,restaurant,16
94_0,94,0,room,16
94_1,94,1,room,16
94_2,94,2,room,16
95_0,95,0,facility,305
96_0,96,0,reception,305
97_0,97,0,renovation_room,305
98_0,98,0,restaurant,305
99_0,99,0,room,305
99_1,99,1,room,305
100_0,100,0,facility,167
101_0,101,0,reception,167
102_0,102,0,pool,167
103_0,103,0,reception,307
104_0,104,0,renovation_room,307
105_0,105,0,restaurant,307
107_0,107,0,restaurant,163
107_1,107,1,restaurant,163
108_0,108,0,room,163
108_1,108,1,room,163
109_0,109,0,facility,456
110_0,110,0,restaurant,456
110_1,110,1,restaurant,456
111_0,111,0,room,456
113_0,113,0,pool,259
114_0,114,0,room,259
115_0,115,0,facility,250
116_0,116,0,restaurant,250
117_0,117,0,room,250
117_1,117,1,room,250
118_0,118,0,reception,150
118_1,118,1,reception,150
119_0,119,0,pool,150
120_0,120,0,renovation_room,150
121_0,121,0,reception,131
122_0,122,0,restaurant,131
123_0,123,0,room,131
124_0,124,0,facility,471
125_0,125,0,pool,471
126_0,126,0,room,471
126_1,126,1,room,471
126_2,126,2,room,471
127_0,127,0,facility,56
128_0,128,0,pool,56
129_0,129,0,room,56
129_1,129,1,room,56
130_0,130,0,renovation_room,205
131_0,131,0,restaurant,205
132_0,132,0,room,205
133_0,133,0,reception,156
134_0,134,0,restaurant,156
135_0,135,0,room,156
136_0,136,0,pool,479
136_1,136,1,pool,479
137_0,137,0,renovation_room,479
138_0,138,0,room,479
138_1,138,1,room,479
139_0,139,0,facility,257
140_0,140,0,pool,257
141_0,141,0,room,257
141_1,141,1,room,257
142_0,142,0,pool,393
144_0,144,0,room,393
145_0,145,0,reception,91
147_0,147,0,restaurant,91
148_0,148,0,renovation_room,373
149_0,149,0,restaurant,373
150_0,150,0,room,373
150_1,150,1,room,373
150_2,150,2,room,373
151_0,151,0,reception,128
152_0,152,0,pool,128
153_0,153,0,renovation_room,128
154_0,154,0,reception,144
154_1,154,1,reception,144
155_0,155,0,pool,144
156_0,156,0,room,144
156_1,156,1,room,144
157_0,157,0,reception,25
158_0,158,0,restaurant,25
159_0,159,0,room,25
160_0,160,0,reception,52
161_0,161,0,restaurant,52
161_1,161,1,restaurant,52
161_2,161,2,restaurant,52
162_0,162,0,room,52
162_1,162,1,room,52
164_0,164,0,restaurant,423
165_0,165,0,room,423
165_1,165,1,room,423
165_2,165,2,room,423
166_0,166,0,renovation_room,489
167_0,167,0,restaurant,489
168_0,168,0,room,489
169_0,169,0,pool,363
170_0,170,0,restaurant,363
170_1,170,1,restaurant,363
170_2,170,2,restaurant,363
171_0,171,0,room,363
171_1,171,1,room,363
172_0,172,0,pool,369
172_1,172,1,pool,369
173_0,173,0,renovation_room,369
174_0,174,0,restaurant,369
175_0,175,0,facility,422
176_0,176,0,reception,422
177_0,177,0,room,422
178_0,178,0,facility,225
179_0,179,0,restaurant,225
179_1,179,1,restaurant,225
180_0,180,0,room,225
181_0,181,0,facility,183
181_1,181,1,facility,183
181_2,181,2,facility,183
182_0,182,0,pool,183
184_0,184,0,reception,135
186_0,186,0,room,135
186_1,186,1,room,135
187_0,187,0,reception,59
188_0,188,0,restaurant,59
188_1,188,1,restaurant,59
188_2,188,2,restaurant,59
189_0,189,0,room,59
189_1,189,1,room,59
190_0,190,0,facility,210
190_1,190,1,facility,210
190_2,190,2,facility,210
191_0,191,0,renovation_room,210
194_0,194,0,reception,41
194_1,194,1,reception,41
194_2,194,2,reception,41
194_3,194,3,reception,41
194_4,194,4,reception,41
195_0,195,0,room,41
195_1,195,1,room,41
195_2,195,2,room,41
196_0,196,0,renovation_room,70
197_0,197,0,restaurant,70
198_0,198,0,renovation_room,411
199_0,199,0,room,411
199_1,199,1,room,411
200_0,200,0,facility,299
200_1,200,1,facility,299
201_0,201,0,restaurant,299
202_0,202,0,facility,380
203_0,203,0,restaurant,380
204_0,204,0,reception,277
205_0,205,0,restaurant,277
205_1,205,1,restaurant,277
205_2,205,2,restaurant,277
205_3,205,3,restaurant,277
206_0,206,0,renovation_room,420
207_0,207,0,room,420
208_0,208,0,facility,217
209_0,209,0,restaurant,217
210_0,210,0,reception,48
211_0,211,0,restaurant,48
212_0,212,0,facility,396
212_1,212,1,facility,396
213_0,213,0,restaurant,396
214_0,214,0,facility,269
214_1,214,1,facility,269
215_0,215,0,reception,269
217_0,217,0,pool,118
218_0,218,0,reception,404
218_1,218,1,reception,404
218_2,218,2,reception,404
218_3,218,3,reception,404
219_0,219,0,renovation_room,404
219_1,219,1,renovation_room,404
220_0,220,0,pool,359
221_0,221,0,room,359
222_0,222,0,reception,318
222_1,222,1,reception,318
222_2,222,2,reception,318
222_3,222,3,reception,318
222_4,222,4,reception,318
222_5,222,5,reception,318
223_0,223,0,restaurant,318
223_1,223,1,restaurant,318
223_2,223,2,restaurant,318
224_0,224,0,facility,228
225_0,225,0,renovation_room,228
226_0,226,0,pool,437
227_0,227,0,restaurant,437
228_0,228,0,reception,278
228_1,228,1,reception,278
228_2,228,2,reception,278
228_3,228,3,reception,278
228_4,228,4,reception,278
229_0,229,0,room,278
229_1,229,1,room,278
229_2,229,2,room,278
230_0,230,0,reception,473
231_0,231,0,room,473
232_0,232,0,facility,74
233_0,233,0,room,74
234_0,234,0,facility,436
235_0,235,0,room,436
235_1,235,1,room,436
235_2,235,2,room,436
236_0,236,0,renovation_room,252
236_1,236,1,renovation_room,252
237_0,237,0,restaurant,252
237_1,237,1,restaurant,252
238_0,238,0,facility,168
238_1,238,1,facility,168
238_2,238,2,facility,168
239_0,239,0,pool,168
241_0,241,0,renovation_room,459
242_0,242,0,facility,370
242_1,242,1,facility,370
243_0,243,0,pool,370
244_0,244,1,reception,395
245_0,245,0,pool,395
246_0,246,0,renovation_room,294
247_0,247,0,restaurant,294
247_1,247,1,restaurant,294
247_2,247,2,restaurant,294
248_0,248,0,reception,29
248_1,248,1,reception,29
249_0,249,0,restaurant,29
249_1,249,1,restaurant,29
250_0,250,0,facility,147
251_0,251,0,reception,147
253_0,253,0,room,147
254_0,254,0,facility,325
254_1,254,1,facility,325
255_0,255,0,renovation_room,325
256_0,256,0,restaurant,325
257_0,257,0,room,325
257_1,257,1,room,325
258_0,258,0,facility,180
259_0,259,0,reception,180
261_0,261,0,room,180
262_0,262,0,facility,46
263_0,263,0,reception,46
263_1,263,1,reception,46
264_0,264,0,restaurant,46
266_0,266,0,facility,270
268_0,268,0,restaurant,270
268_1,268,1,restaurant,270
269_0,269,0,room,270
269_1,269,1,room,270
269_2,269,2,room,270
270_0,270,0,pool,149
270_1,270,1,pool,149
271_0,271,0,renovation_room,149
272_0,272,0,restaurant,149
273_0,273,0,room,149
273_1,273,1,room,149
274_0,274,0,facility,142
275_0,275,0,reception,142
276_0,276,0,pool,142
277_0,277,0,room,142
277_1,277,1,room,142
278_0,278,0,pool,214
279_0,279,0,renovation_room,214
281_0,281,0,room,214
282_0,282,0,facility,292
283_0,283,0,pool,292
283_1,283,1,pool,292
284_0,284,0,renovation_room,292
285_0,285,0,room,292
286_0,286,0,reception,32
288_0,288,0,restaurant,32
289_0,289,0,room,32
290_0,290,0,facility,226
290_1,290,1,facility,226
291_0,291,0,pool,226
292_0,292,0,renovation_room,226
293_0,293,0,room,226
293_1,293,1,room,226
294_0,294,0,facility,9
294_1,294,1,facility,9
295_0,295,0,reception,9
295_1,295,1,reception,9
295_2,295,2,reception,9
297_0,297,0,restaurant,9
297_1,297,1,restaurant,9
298_0,298,0,facility,37
299_0,299,0,reception,37
299_1,299,1,reception,37
299_2,299,2,reception,37
300_0,300,0,restaurant,37
300_1,300,1,restaurant,37
301_0,301,0,room,37
302_0,302,0,reception,211
304_0,304,0,restaurant,211
305_0,305,0,room,211
306_0,306,0,facility,26
307_0,307,0,pool,26
308_0,308,0,restaurant,26
308_1,308,1,restaurant,26
309_0,309,0,room,26
310_0,310,0,facility,242
311_0,311,0,reception,242
313_0,313,0,room,242
314_0,314,0,reception,185
314_1,314,1,reception,185
314_2,314,2,reception,185
315_0,315,0,pool,185
316_0,316,0,restaurant,185
317_0,317,0,room,185
318_0,318,0,reception,224
319_0,319,0,renovation_room,224
320_0,320,0,restaurant,224
320_1,320,1,restaurant,224
320_2,320,2,restaurant,224
321_0,321,0,room,224
321_1,321,1,room,224
322_0,322,0,reception,367
323_0,323,0,pool,367
323_1,323,1,pool,367
324_0,324,0,restaurant,367
324_1,324,1,restaurant,367
325_0,325,0,room,367
325_1,325,1,room,367
325_2,325,2,room,367
326_0,326,0,facility,145
327_0,327,0,reception,145
328_0,328,0,restaurant,145
329_0,329,0,room,145
330_0,330,0,room,291
330_1,330,1,room,291
330_2,330,2,room,291
331_0,331,0,reception,391
332_0,332,0,renovation_room,453
333_0,333,0,reception,478
333_1,333,1,reception,478
334_0,334,0,pool,273
335_0,335,0,room,71
336_0,336,0,facility,416
337_0,337,0,pool,6
338_0,338,0,facility,95
339_0,339,0,facility,337
339_1,339,1,facility,337
340_0,340,0,reception,20
342_0,342,0,facility,441
343_0,343,0,facility,326
344_0,344,0,room,424
344_1,344,1,room,424
344_2,344,2,room,424
345_0,345,0,reception,162
346_0,346,0,renovation_room,321
347_0,347,0,pool,158
348_0,348,0,room,230
351_0,351,0,facility,194
352_0,352,0,facility,289
354_0,354,0,facility,179
356_0,356,0,renovation_room,412
357_0,357,0,room,309
358_0,358,0,room,203
358_1,358,1,room,203
359_0,359,0,restaurant,444
360_0,360,0,facility,486
361_0,361,0,reception,486
361_1,361,1,reception,486
362_0,362,0,pool,486
363_0,363,0,renovation_room,486
364_0,364,0,restaurant,486
364_1,364,1,restaurant,486
365_0,365,0,room,486
365_1,365,1,room,486
365_2,365,2,room,486
365_3,365,3,room,486
366_0,366,0,facility,399
367_0,367,0,reception,399
367_1,367,1,reception,399
367_2,367,2,reception,399
369_0,369,0,renovation_room,399
370_0,370,0,restaurant,399
370_1,370,1,restaurant,399
371_0,371,0,room,399
371_1,371,1,room,399
371_2,371,2,room,399
372_0,372,0,facility,221
373_0,373,0,reception,221
375_0,375,0,renovation_room,221
376_0,376,0,restaurant,221
377_0,377,0,room,221
377_1,377,1,room,221
378_0,378,0,facility,122
379_0,379,0,reception,122
379_1,379,1,reception,122
381_0,381,0,renovation_room,122
382_0,382,0,restaurant,122
382_1,382,1,restaurant,122
383_0,383,0,room,122
383_1,383,1,room,122
384_0,384,0,facility,409
385_0,385,0,reception,409
386_0,386,0,pool,409
387_0,387,0,renovation_room,409
388_0,388,0,restaurant,409
389_0,389,0,room,409
390_0,390,0,facility,386
390_1,390,1,facility,386
391_0,391,0,reception,386
392_0,392,0,pool,386
393_0,393,0,renovation_room,386
393_1,393,1,renovation_room,386
394_0,394,0,restaurant,386
394_1,394,1,restaurant,386
395_0,395,0,room,386
395_1,395,1,room,386
396_0,396,0,facility,288
396_1,396,1,facility,288
397_0,397,0,reception,288
397_1,397,1,reception,288
398_0,398,0,pool,288
399_0,399,0,renovation_room,288
400_0,400,0,restaurant,288
400_1,400,1,restaurant,288
401_0,401,0,room,288
403_0,403,0,reception,139
404_0,404,0,pool,139
406_0,406,0,restaurant,139
407_0,407,0,room,139
408_0,408,0,facility,64
409_0,409,0,reception,64
409_1,409,1,reception,64
409_2,409,2,reception,64
410_0,410,0,pool,64
411_0,411,0,renovation_room,64
411_1,411,1,renovation_room,64
412_0,412,0,restaurant,64
412_1,412,1,restaurant,64
412_2,412,2,restaurant,64
413_0,413,0,room,64
413_1,413,1,room,64
414_0,414,0,facility,389
415_0,415,0,reception,389
415_1,415,1,reception,389
415_2,415,2,reception,389
415_3,415,3,reception,389
416_0,416,0,pool,389
416_1,416,1,pool,389
417_0,417,0,renovation_room,389
418_0,418,0,restaurant,389
418_1,418,1,restaurant,389
419_0,419,0,room,389
419_1,419,1,room,389
