,no-aspect,no-sentiment,yes-aspect,yes-sentiment,Total,fileId,iId
1_0,1,0,1,2,4,1,0
1_9,0,1,2,1,4,1,9
1_12,1,0,1,2,4,1,12
1_14,1,0,1,2,4,1,14
1_15,1,0,1,2,4,1,15
5_2,1,1,1,1,4,5,2
5_3,1,1,1,1,4,5,3
5_4,1,1,1,1,4,5,4
5_7,1,0,1,2,4,5,7
5_8,1,0,1,2,4,5,8
5_11,1,0,1,2,4,5,11
5_12,2,1,0,1,4,5,12
5_14,1,0,1,2,4,5,14
7_0,1,2,1,0,4,7,0
7_1,1,2,1,0,4,7,1
7_2,1,2,1,0,4,7,2
7_3,1,1,1,1,4,7,3
7_7,0,1,2,1,4,7,7
7_17,2,1,0,1,4,7,17
11_3,1,0,1,2,4,11,3
11_4,1,0,1,2,4,11,4
11_10,1,1,1,1,4,11,10
11_11,0,1,2,1,4,11,11
11_12,1,2,1,0,4,11,12
11_13,1,2,1,0,4,11,13
12_0,1,1,1,1,4,12,0
12_2,1,0,1,2,4,12,2
12_4,1,1,1,1,4,12,4
12_8,0,1,2,1,4,12,8
13_3,2,1,0,1,4,13,3
13_5,2,1,0,1,4,13,5
13_6,1,1,1,1,4,13,6
13_9,1,2,1,0,4,13,9
13_10,0,1,2,1,4,13,10
13_11,1,1,1,1,4,13,11
15_0,0,1,2,1,4,15,0
15_4,1,0,1,2,4,15,4
15_6,1,0,1,2,4,15,6
15_7,1,0,1,2,4,15,7
15_8,1,0,1,2,4,15,8
15_9,1,0,1,2,4,15,9
15_10,1,0,1,2,4,15,10
15_11,1,0,1,2,4,15,11
15_12,1,0,1,2,4,15,12
15_17,1,0,1,2,4,15,17
16_0,1,2,1,0,4,16,0
16_5,1,0,1,2,4,16,5
16_7,1,0,1,2,4,16,7
16_10,1,0,1,2,4,16,10
16_11,1,0,1,2,4,16,11
16_13,1,0,1,2,4,16,13
16_14,1,0,1,2,4,16,14
16_16,1,0,1,2,4,16,16
16_17,1,0,1,2,4,16,17
16_18,1,0,1,2,4,16,18
16_19,1,0,1,2,4,16,19
17_3,2,1,0,1,4,17,3
17_4,2,1,0,1,4,17,4
17_5,2,1,0,1,4,17,5
17_11,2,1,0,1,4,17,11
17_12,1,2,1,0,4,17,12
17_13,2,1,0,1,4,17,13
17_16,1,0,1,2,4,17,16
18_8,0,1,2,1,4,18,8
18_12,1,0,1,2,4,18,12
18_14,1,0,1,2,4,18,14
19_1,1,0,1,2,4,19,1
19_11,1,0,1,2,4,19,11
19_16,1,0,1,2,4,19,16
20_0,1,0,1,2,4,20,0
20_2,1,0,1,2,4,20,2
20_3,2,1,0,1,4,20,3
20_4,2,1,0,1,4,20,4
20_5,1,0,1,2,4,20,5
20_6,2,1,0,1,4,20,6
20_7,1,1,1,1,4,20,7
20_8,1,0,1,2,4,20,8
20_9,1,1,1,1,4,20,9
20_12,1,0,1,2,4,20,12
20_13,0,1,2,1,4,20,13
20_14,1,0,1,2,4,20,14
20_15,1,0,1,2,4,20,15
20_20,2,1,0,1,4,20,20
20_22,1,0,1,2,4,20,22
20_23,1,0,1,2,4,20,23
20_24,1,0,1,2,4,20,24
20_25,2,1,0,1,4,20,25
20_26,1,0,1,2,4,20,26
20_27,1,1,1,1,4,20,27
20_28,1,0,1,2,4,20,28
20_29,2,1,0,1,4,20,29
22_2,2,1,0,1,4,22,2
22_7,1,1,1,1,4,22,7
22_12,1,0,1,2,4,22,12
22_13,1,1,1,1,4,22,13
22_19,1,0,1,2,4,22,19
24_1,0,1,2,1,4,24,1
24_2,1,2,1,0,4,24,2
24_14,0,1,2,1,4,24,14
24_16,1,0,1,2,4,24,16
25_1,0,1,2,1,4,25,1
25_3,1,1,1,1,4,25,3
25_4,2,1,0,1,4,25,4
25_6,1,1,1,1,4,25,6
25_7,0,1,2,1,4,25,7
25_10,1,0,1,2,4,25,10
25_12,1,0,1,2,4,25,12
27_12,0,1,2,1,4,27,12
27_22,2,1,0,1,4,27,22
27_23,1,2,1,0,4,27,23
27_25,1,2,1,0,4,27,25
28_1,0,1,2,1,4,28,1
28_4,1,0,1,2,4,28,4
30_2,1,0,1,2,4,30,2
30_7,1,0,1,2,4,30,7
30_8,1,0,1,2,4,30,8
30_10,2,1,0,1,4,30,10
30_11,1,1,1,1,4,30,11
30_12,1,1,1,1,4,30,12
30_13,1,0,1,2,4,30,13
30_16,1,0,1,2,4,30,16
30_18,1,2,1,0,4,30,18
30_19,2,1,0,1,4,30,19
30_22,2,1,0,1,4,30,22
30_23,1,1,1,1,4,30,23
30_24,1,1,1,1,4,30,24
30_26,1,1,1,1,4,30,26
32_8,1,0,1,2,4,32,8
32_13,1,0,1,2,4,32,13
32_15,1,0,1,2,4,32,15
36_1,1,2,1,0,4,36,1
36_7,0,1,2,1,4,36,7
36_8,1,1,1,1,4,36,8
37_0,1,0,1,2,4,37,0
37_7,0,1,2,1,4,37,7
39_0,0,1,2,1,4,39,0
39_2,0,1,2,1,4,39,2
39_3,2,1,0,1,4,39,3
39_5,2,1,0,1,4,39,5
39_7,2,1,0,1,4,39,7
39_8,1,0,1,2,4,39,8
39_10,0,1,2,1,4,39,10
39_11,2,1,0,1,4,39,11
39_13,2,1,0,1,4,39,13
39_14,1,0,1,2,4,39,14
39_17,0,1,2,1,4,39,17
39_19,1,2,1,0,4,39,19
40_1,1,1,1,1,4,40,1
40_3,1,1,1,1,4,40,3
40_4,1,1,1,1,4,40,4
40_5,2,1,0,1,4,40,5
40_6,0,1,2,1,4,40,6
40_7,1,1,1,1,4,40,7
40_8,2,1,0,1,4,40,8
40_9,1,1,1,1,4,40,9
40_10,1,1,1,1,4,40,10
40_14,1,1,1,1,4,40,14
40_15,1,2,1,0,4,40,15
40_19,1,2,1,0,4,40,19
40_20,1,2,1,0,4,40,20
41_0,1,2,1,0,4,41,0
41_2,1,2,1,0,4,41,2
41_3,1,2,1,0,4,41,3
41_7,2,1,0,1,4,41,7
41_9,1,2,1,0,4,41,9
41_11,1,1,1,1,4,41,11
41_16,2,1,0,1,4,41,16
41_17,1,1,1,1,4,41,17
41_19,1,1,1,1,4,41,19
42_8,0,1,2,1,4,42,8
42_9,0,1,2,1,4,42,9
43_2,0,1,2,1,4,43,2
43_5,1,2,1,0,4,43,5
43_7,1,2,1,0,4,43,7
43_8,0,1,2,1,4,43,8
43_14,1,2,1,0,4,43,14
43_15,1,0,1,2,4,43,15
43_19,1,0,1,2,4,43,19
44_1,1,0,1,2,4,44,1
44_3,0,1,2,1,4,44,3
44_5,2,1,0,1,4,44,5
44_6,1,0,1,2,4,44,6
44_9,1,2,1,0,4,44,9
44_10,1,0,1,2,4,44,10
44_12,1,1,1,1,4,44,12
44_14,1,1,1,1,4,44,14
44_16,2,1,0,1,4,44,16
44_18,1,0,1,2,4,44,18
44_26,0,1,2,1,4,44,26
46_2,0,1,2,1,4,46,2
46_8,2,1,0,1,4,46,8
46_10,1,2,1,0,4,46,10
46_11,2,1,0,1,4,46,11
46_14,1,0,1,2,4,46,14
46_18,1,0,1,2,4,46,18
46_21,1,1,1,1,4,46,21
46_25,1,1,1,1,4,46,25
46_27,2,1,0,1,4,46,27
46_29,1,2,1,0,4,46,29
47_4,1,1,1,1,4,47,4
47_16,1,1,1,1,4,47,16
47_17,1,0,1,2,4,47,17
51_5,2,1,0,1,4,51,5
51_6,2,1,0,1,4,51,6
51_9,1,0,1,2,4,51,9
51_10,1,0,1,2,4,51,10
51_11,0,1,2,1,4,51,11
51_12,1,1,1,1,4,51,12
51_14,2,1,0,1,4,51,14
51_15,2,1,0,1,4,51,15
51_16,2,1,0,1,4,51,16
51_17,2,1,0,1,4,51,17
51_18,2,1,0,1,4,51,18
51_22,2,1,0,1,4,51,22
51_25,1,1,1,1,4,51,25
51_27,1,1,1,1,4,51,27
51_28,2,1,0,1,4,51,28
51_29,2,1,0,1,4,51,29
51_30,2,1,0,1,4,51,30
51_31,1,1,1,1,4,51,31
51_34,2,1,0,1,4,51,34
51_36,2,1,0,1,4,51,36
51_37,1,1,1,1,4,51,37
51_38,2,1,0,1,4,51,38
52_11,2,1,0,1,4,52,11
52_12,1,1,1,1,4,52,12
52_18,2,1,0,1,4,52,18
52_19,2,1,0,1,4,52,19
52_20,1,0,1,2,4,52,20
52_23,1,1,1,1,4,52,23
52_24,1,2,1,0,4,52,24
52_25,1,2,1,0,4,52,25
52_26,2,1,0,1,4,52,26
53_1,0,1,2,1,4,53,1
53_3,0,1,2,1,4,53,3
53_4,0,1,2,1,4,53,4
53_7,1,1,1,1,4,53,7
55_0,2,1,0,1,4,55,0
55_1,1,0,1,2,4,55,1
55_2,1,0,1,2,4,55,2
55_3,1,0,1,2,4,55,3
55_9,1,0,1,2,4,55,9
55_11,1,1,1,1,4,55,11
55_14,1,0,1,2,4,55,14
55_17,0,1,2,1,4,55,17
55_18,1,0,1,2,4,55,18
55_19,1,0,1,2,4,55,19
56_5,2,1,0,1,4,56,5
56_6,1,0,1,2,4,56,6
56_11,1,0,1,2,4,56,11
56_12,0,1,2,1,4,56,12
56_13,1,1,1,1,4,56,13
56_19,1,0,1,2,4,56,19
57_3,1,1,1,1,4,57,3
57_6,1,0,1,2,4,57,6
57_9,1,0,1,2,4,57,9
57_13,0,1,2,1,4,57,13
57_14,0,1,2,1,4,57,14
59_3,1,1,1,1,4,59,3
59_7,2,1,0,1,4,59,7
59_9,1,1,1,1,4,59,9
59_13,1,1,1,1,4,59,13
59_16,0,1,2,1,4,59,16
59_23,1,2,1,0,4,59,23
59_24,0,1,2,1,4,59,24
59_28,1,1,1,1,4,59,28
60_12,2,1,0,1,4,60,12
60_13,2,1,0,1,4,60,13
60_16,0,1,2,1,4,60,16
60_17,2,1,0,1,4,60,17
60_19,2,1,0,1,4,60,19
61_0,2,1,0,1,4,61,0
61_3,0,1,2,1,4,61,3
61_5,0,1,2,1,4,61,5
61_7,1,1,1,1,4,61,7
61_8,2,1,0,1,4,61,8
61_13,2,1,0,1,4,61,13
61_16,2,1,0,1,4,61,16
61_18,1,2,1,0,4,61,18
61_19,2,1,0,1,4,61,19
62_3,1,1,1,1,4,62,3
63_0,2,1,0,1,4,63,0
63_1,2,1,0,1,4,63,1
63_3,2,1,0,1,4,63,3
63_4,2,1,0,1,4,63,4
63_5,2,1,0,1,4,63,5
63_6,2,1,0,1,4,63,6
63_7,2,1,0,1,4,63,7
63_8,2,1,0,1,4,63,8
63_11,2,1,0,1,4,63,11
63_12,2,1,0,1,4,63,12
63_13,1,1,1,1,4,63,13
63_14,1,1,1,1,4,63,14
63_17,2,1,0,1,4,63,17
63_19,1,1,1,1,4,63,19
64_4,1,1,1,1,4,64,4
64_6,1,1,1,1,4,64,6
64_19,2,1,0,1,4,64,19
64_23,2,1,0,1,4,64,23
64_24,2,1,0,1,4,64,24
64_26,1,1,1,1,4,64,26
64_27,1,2,1,0,4,64,27
64_28,0,1,2,1,4,64,28
64_29,1,1,1,1,4,64,29
65_0,1,0,1,2,4,65,0
65_1,1,0,1,2,4,65,1
65_3,1,0,1,2,4,65,3
65_5,0,1,2,1,4,65,5
65_7,1,1,1,1,4,65,7
65_8,1,1,1,1,4,65,8
65_9,1,1,1,1,4,65,9
65_10,1,1,1,1,4,65,10
65_11,1,2,1,0,4,65,11
65_12,2,1,0,1,4,65,12
65_13,1,1,1,1,4,65,13
65_14,1,0,1,2,4,65,14
65_15,2,1,0,1,4,65,15
65_16,2,1,0,1,4,65,16
65_18,2,1,0,1,4,65,18
69_0,1,0,1,2,4,69,0
69_3,2,1,0,1,4,69,3
69_4,1,1,1,1,4,69,4
69_5,1,1,1,1,4,69,5
69_6,0,1,2,1,4,69,6
69_13,2,1,0,1,4,69,13
69_14,1,1,1,1,4,69,14
69_16,1,1,1,1,4,69,16
69_18,1,2,1,0,4,69,18
69_20,1,1,1,1,4,69,20
69_21,1,1,1,1,4,69,21
69_25,1,1,1,1,4,69,25
69_29,0,1,2,1,4,69,29
70_1,1,1,1,1,4,70,1
70_4,0,1,2,1,4,70,4
70_8,0,1,2,1,4,70,8
70_9,2,1,0,1,4,70,9
70_10,1,1,1,1,4,70,10
70_11,1,0,1,2,4,70,11
70_13,1,0,1,2,4,70,13
70_17,1,0,1,2,4,70,17
70_19,1,0,1,2,4,70,19
71_1,1,0,1,2,4,71,1
71_3,1,0,1,2,4,71,3
71_4,1,1,1,1,4,71,4
71_6,1,0,1,2,4,71,6
71_8,1,2,1,0,4,71,8
71_10,1,0,1,2,4,71,10
71_13,1,0,1,2,4,71,13
71_14,1,0,1,2,4,71,14
71_20,1,2,1,0,4,71,20
71_23,1,2,1,0,4,71,23
71_24,1,0,1,2,4,71,24
71_25,1,0,1,2,4,71,25
71_28,1,0,1,2,4,71,28
71_29,1,1,1,1,4,71,29
72_0,1,0,1,2,4,72,0
72_1,0,1,2,1,4,72,1
72_9,1,2,1,0,4,72,9
72_18,1,1,1,1,4,72,18
73_4,1,0,1,2,4,73,4
73_5,1,2,1,0,4,73,5
73_8,2,1,0,1,4,73,8
73_9,2,1,0,1,4,73,9
73_11,1,0,1,2,4,73,11
73_12,2,1,0,1,4,73,12
73_14,1,2,1,0,4,73,14
73_15,1,0,1,2,4,73,15
73_16,1,2,1,0,4,73,16
73_17,1,0,1,2,4,73,17
73_18,2,1,0,1,4,73,18
73_23,2,1,0,1,4,73,23
73_24,1,1,1,1,4,73,24
73_26,1,2,1,0,4,73,26
76_3,0,1,2,1,4,76,3
76_7,1,1,1,1,4,76,7
76_14,1,0,1,2,4,76,14
76_15,1,2,1,0,4,76,15
76_16,1,1,1,1,4,76,16
76_18,1,2,1,0,4,76,18
76_20,1,1,1,1,4,76,20
76_23,1,1,1,1,4,76,23
76_24,2,1,0,1,4,76,24
76_27,2,1,0,1,4,76,27
76_28,1,1,1,1,4,76,28
76_30,1,2,1,0,4,76,30
76_31,1,2,1,0,4,76,31
76_32,1,2,1,0,4,76,32
76_35,2,1,0,1,4,76,35
76_36,1,1,1,1,4,76,36
77_0,1,1,1,1,4,77,0
77_1,1,1,1,1,4,77,1
77_2,1,1,1,1,4,77,2
77_3,1,1,1,1,4,77,3
77_4,1,1,1,1,4,77,4
77_5,1,1,1,1,4,77,5
77_6,1,1,1,1,4,77,6
77_7,1,1,1,1,4,77,7
77_8,1,1,1,1,4,77,8
77_9,1,1,1,1,4,77,9
78_0,1,1,1,1,4,78,0
78_6,2,1,0,1,4,78,6
78_11,2,1,0,1,4,78,11
78_20,2,1,0,1,4,78,20
78_21,1,0,1,2,4,78,21
79_5,1,1,1,1,4,79,5
79_14,1,1,1,1,4,79,14
79_19,2,1,0,1,4,79,19
80_0,2,1,0,1,4,80,0
80_1,2,1,0,1,4,80,1
80_2,1,0,1,2,4,80,2
80_5,2,1,0,1,4,80,5
80_6,1,1,1,1,4,80,6
80_9,1,2,1,0,4,80,9
80_14,1,1,1,1,4,80,14
80_15,2,1,0,1,4,80,15
80_21,1,0,1,2,4,80,21
80_22,1,0,1,2,4,80,22
80_23,2,1,0,1,4,80,23
80_24,2,1,0,1,4,80,24
85_0,2,1,0,1,4,85,0
85_3,1,1,1,1,4,85,3
85_5,2,1,0,1,4,85,5
85_7,2,1,0,1,4,85,7
85_11,1,0,1,2,4,85,11
85_13,1,0,1,2,4,85,13
85_14,1,0,1,2,4,85,14
85_15,1,0,1,2,4,85,15
85_16,1,0,1,2,4,85,16
85_19,1,0,1,2,4,85,19
86_0,1,2,1,0,4,86,0
86_2,1,2,1,0,4,86,2
86_3,1,0,1,2,4,86,3
86_4,2,1,0,1,4,86,4
86_6,1,0,1,2,4,86,6
86_9,1,0,1,2,4,86,9
86_10,1,0,1,2,4,86,10
88_0,1,0,1,2,4,88,0
88_3,1,0,1,2,4,88,3
88_6,1,0,1,2,4,88,6
88_8,1,0,1,2,4,88,8
88_9,1,0,1,2,4,88,9
88_17,1,2,1,0,4,88,17
88_19,1,0,1,2,4,88,19
88_21,1,0,1,2,4,88,21
88_23,1,2,1,0,4,88,23
88_24,0,1,2,1,4,88,24
88_25,1,0,1,2,4,88,25
89_0,1,1,1,1,4,89,0
89_1,1,0,1,2,4,89,1
89_6,0,1,2,1,4,89,6
89_7,1,1,1,1,4,89,7
89_11,1,0,1,2,4,89,11
89_16,1,0,1,2,4,89,16
91_1,0,1,2,1,4,91,1
91_4,2,1,0,1,4,91,4
91_6,1,0,1,2,4,91,6
91_12,1,2,1,0,4,91,12
91_13,1,0,1,2,4,91,13
92_0,0,1,2,1,4,92,0
92_2,1,0,1,2,4,92,2
92_4,1,0,1,2,4,92,4
92_5,1,0,1,2,4,92,5
92_6,1,1,1,1,4,92,6
92_14,1,0,1,2,4,92,14
92_15,0,1,2,1,4,92,15
93_1,0,1,2,1,4,93,1
93_2,1,1,1,1,4,93,2
93_3,2,1,0,1,4,93,3
93_4,0,1,2,1,4,93,4
93_5,0,1,2,1,4,93,5
93_7,2,1,0,1,4,93,7
93_8,1,1,1,1,4,93,8
93_9,0,1,2,1,4,93,9
93_11,1,0,1,2,4,93,11
93_13,0,1,2,1,4,93,13
93_17,1,0,1,2,4,93,17
93_19,1,0,1,2,4,93,19
95_1,1,1,1,1,4,95,1
95_4,1,0,1,2,4,95,4
95_5,1,0,1,2,4,95,5
95_6,1,0,1,2,4,95,6
95_8,1,0,1,2,4,95,8
95_11,1,2,1,0,4,95,11
95_12,1,1,1,1,4,95,12
95_13,1,0,1,2,4,95,13
95_18,1,0,1,2,4,95,18
95_19,1,0,1,2,4,95,19
96_2,2,1,0,1,4,96,2
96_10,1,1,1,1,4,96,10
96_11,1,0,1,2,4,96,11
97_2,0,1,2,1,4,97,2
97_6,0,1,2,1,4,97,6
97_7,0,1,2,1,4,97,7
97_16,0,1,2,1,4,97,16
98_1,1,1,1,1,4,98,1
98_5,1,0,1,2,4,98,5
98_13,1,0,1,2,4,98,13
98_14,1,0,1,2,4,98,14
98_15,1,1,1,1,4,98,15
98_16,2,1,0,1,4,98,16
100_0,1,0,1,2,4,100,0
100_1,1,2,1,0,4,100,1
100_2,1,2,1,0,4,100,2
100_5,0,1,2,1,4,100,5
100_6,1,1,1,1,4,100,6
100_9,1,0,1,2,4,100,9
100_19,1,0,1,2,4,100,19
101_0,1,0,1,2,4,101,0
101_1,1,0,1,2,4,101,1
101_2,1,2,1,0,4,101,2
101_3,1,0,1,2,4,101,3
101_5,1,0,1,2,4,101,5
101_6,1,0,1,2,4,101,6
101_7,1,0,1,2,4,101,7
101_9,1,1,1,1,4,101,9
101_10,1,0,1,2,4,101,10
101_12,1,0,1,2,4,101,12
101_13,1,0,1,2,4,101,13
101_14,1,0,1,2,4,101,14
101_15,1,0,1,2,4,101,15
101_16,1,0,1,2,4,101,16
101_17,1,0,1,2,4,101,17
101_18,1,0,1,2,4,101,18
101_19,1,0,1,2,4,101,19
102_0,1,0,1,2,4,102,0
102_1,0,1,2,1,4,102,1
102_4,0,1,2,1,4,102,4
102_7,0,1,2,1,4,102,7
102_10,1,1,1,1,4,102,10
102_14,1,0,1,2,4,102,14
103_0,1,1,1,1,4,103,0
103_2,1,2,1,0,4,103,2
103_8,1,0,1,2,4,103,8
103_13,1,0,1,2,4,103,13
103_14,1,0,1,2,4,103,14
103_15,1,0,1,2,4,103,15
103_16,1,0,1,2,4,103,16
103_18,1,0,1,2,4,103,18
103_19,1,0,1,2,4,103,19
104_3,1,0,1,2,4,104,3
104_5,0,1,2,1,4,104,5
104_8,1,2,1,0,4,104,8
104_10,1,1,1,1,4,104,10
104_11,0,1,2,1,4,104,11
105_0,1,0,1,2,4,105,0
105_3,1,2,1,0,4,105,3
105_5,1,2,1,0,4,105,5
105_7,1,2,1,0,4,105,7
105_9,1,0,1,2,4,105,9
105_11,1,0,1,2,4,105,11
105_15,1,0,1,2,4,105,15
105_16,1,0,1,2,4,105,16
105_17,1,0,1,2,4,105,17
106_2,1,0,1,2,4,106,2
106_6,1,0,1,2,4,106,6
106_7,1,2,1,0,4,106,7
106_8,1,0,1,2,4,106,8
106_9,2,1,0,1,4,106,9
107_1,1,2,1,0,4,107,1
107_2,0,1,2,1,4,107,2
107_7,1,1,1,1,4,107,7
107_8,1,0,1,2,4,107,8
107_11,0,1,2,1,4,107,11
107_12,1,2,1,0,4,107,12
107_15,1,1,1,1,4,107,15
107_17,1,0,1,2,4,107,17
107_20,1,1,1,1,4,107,20
107_21,1,1,1,1,4,107,21
107_22,1,1,1,1,4,107,22
107_25,2,1,0,1,4,107,25
107_26,1,0,1,2,4,107,26
109_0,1,0,1,2,4,109,0
109_4,0,1,2,1,4,109,4
109_6,1,2,1,0,4,109,6
109_9,1,0,1,2,4,109,9
109_10,1,2,1,0,4,109,10
109_15,1,1,1,1,4,109,15
109_19,1,0,1,2,4,109,19
110_0,1,2,1,0,4,110,0
110_1,1,0,1,2,4,110,1
110_2,1,0,1,2,4,110,2
110_6,1,2,1,0,4,110,6
110_9,1,2,1,0,4,110,9
110_13,1,0,1,2,4,110,13
110_14,0,1,2,1,4,110,14
110_16,0,1,2,1,4,110,16
110_21,1,0,1,2,4,110,21
111_10,1,0,1,2,4,111,10
112_0,1,0,1,2,4,112,0
112_1,1,0,1,2,4,112,1
113_0,1,1,1,1,4,113,0
113_5,0,1,2,1,4,113,5
113_10,1,2,1,0,4,113,10
113_12,1,0,1,2,4,113,12
114_0,1,0,1,2,4,114,0
114_5,0,1,2,1,4,114,5
114_7,0,1,2,1,4,114,7
114_9,1,2,1,0,4,114,9
114_10,0,1,2,1,4,114,10
114_14,0,1,2,1,4,114,14
115_5,1,2,1,0,4,115,5
115_9,1,1,1,1,4,115,9
115_12,1,0,1,2,4,115,12
115_14,1,0,1,2,4,115,14
115_17,1,0,1,2,4,115,17
115_19,1,0,1,2,4,115,19
116_0,1,1,1,1,4,116,0
116_1,1,1,1,1,4,116,1
116_2,1,0,1,2,4,116,2
